Changing files of Problem #07
filename: 06_wSz3UCv.inp, cur_input : 01.inp, cur_output : 01.out
filename: 07_5YNwr0h.inp, cur_input : 10.inp, cur_output : 10.out
filename: 07_5YNwr0h.inp, cur_input : 11.inp, cur_output : 11.out
filename: 07_5YNwr0h.inp, cur_input : 12.inp, cur_output : 12.out
filename: 07_5YNwr0h.inp, cur_input : 13.inp, cur_output : 13.out
filename: 07_5YNwr0h.inp, cur_input : 14.inp, cur_output : 14.out
filename: 07_5YNwr0h.inp, cur_input : 15.inp, cur_output : 15.out
filename: 07_nq5WX3N.out, cur_input : 01_Yq7IHve.inp, cur_output : 01_iYZD1ci.out
filename: 07_nq5WX3N.out, cur_input : 02_dTtShhB.inp, cur_output : 02_suABXcV.out
filename: 07_nq5WX3N.out, cur_input : 03_c8KGcqj.inp, cur_output : 03_8MRWlQ5.out
filename: 07_nq5WX3N.out, cur_input : 04_Lw9wY4R.inp, cur_output : 04_lrmnxn6.out
filename: 07_nq5WX3N.out, cur_input : 05_9S1krbE.inp, cur_output : 05_H647Wb4.out
filename: 07_nq5WX3N.out, cur_input : 06_JZTeUHa.inp, cur_output : 06_8eO9esy.out
filename: 07_nq5WX3N.out, cur_input : 07_l0gTwj2.inp, cur_output : 07_nq5WX3N.out
filename: 07_nq5WX3N.out, cur_input : 08.inp, cur_output : 08.out
filename: 07_nq5WX3N.out, cur_input : 09.inp, cur_output : 09.out
filename: 07_nq5WX3N.out, cur_input : 10.inp, cur_output : 10.out
filename: 07_nq5WX3N.out, cur_input : 11.inp, cur_output : 11.out
filename: 07_nq5WX3N.out, cur_input : 12.inp, cur_output : 12.out
filename: 07_nq5WX3N.out, cur_input : 13.inp, cur_output : 13.out
filename: 07_nq5WX3N.out, cur_input : 14.inp, cur_output : 14.out
filename: 07_nq5WX3N.out, cur_input : 15.inp, cur_output : 15.out
Finished
Changing files of Problem #13
Finished
Changing files of Problem #13
Finished
Changing files of Problem #14
filename: 15.out, cur_input : 01.inp, cur_output : 01.out
filename: 15.out, cur_input : 02.inp, cur_output : 02.out
filename: 15.out, cur_input : 03.inp, cur_output : 03.out
filename: 15.out, cur_input : 04.inp, cur_output : 04.out
filename: 15.out, cur_input : 05.inp, cur_output : 05.out
filename: 15.out, cur_input : 06.inp, cur_output : 06.out
filename: 15.out, cur_input : 07.inp, cur_output : 07.out
filename: 15.out, cur_input : 08.inp, cur_output : 08.out
filename: 15.out, cur_input : 09.inp, cur_output : 09.out
filename: 15.out, cur_input : 10.inp, cur_output : 10.out
filename: 15.out, cur_input : 11.inp, cur_output : 11.out
filename: 15.out, cur_input : 12.inp, cur_output : 12.out
filename: 15.out, cur_input : 13.inp, cur_output : 13.out
filename: 15.out, cur_input : 14.inp, cur_output : 14.out
filename: 15.out, cur_input : 15.inp, cur_output : 15.out
remove : /opt/vespa/data/algo2022/assignment/14/eval/15.out, changed : 15.out
Finished
Changing files of Problem #14
Finished
Changing files of Problem #14
Finished
